"","num_cells","method","time","memory"
"1",1000,"callback",0.146472811698914,803.5
"2",1000,"sc-SHC",0.140258053938548,1218.6
"3",1000,"CHOIR",1.14589174588521,149
"4",2000,"callback",0.170481944084167,529.4
"5",2000,"sc-SHC",0.191208577156067,1189.7
"6",2000,"CHOIR",7.9142253001531,365.8
"7",5000,"callback",0.398451244831085,1125.9
"8",5000,"sc-SHC",0.474130308628082,1130.1
"9",5000,"CHOIR",7.54969108104706,701.8
"10",10000,"callback",0.706918358802795,1022.1
"11",10000,"sc-SHC",0.617630938688914,1397.3
"12",10000,"CHOIR",14.0856889208158,1370
"13",20000,"callback",1.76299554506938,1614.9
"14",20000,"sc-SHC",1.45783327817917,3647.9
"15",20000,"CHOIR",32.3111082514127,1983.4
"16",30000,"callback",2.45339612960815,3072.2
"17",30000,"sc-SHC",1.99463529586792,6856.3
"18",30000,"CHOIR",38.8580505688985,2929.2
"19",40000,"callback",3.68578513463338,3342.8
"20",40000,"sc-SHC",3.24285856088003,11700
"21",40000,"CHOIR",43.0765937765439,5158.2
"22",50000,"callback",5.37388472557068,4053.1
"23",50000,"sc-SHC",4.73169029156367,17824
"24",50000,"CHOIR",66.6495282649994,6351.6
"25",60000,"callback",6.15418462355932,5513.8
"26",60000,"sc-SHC",5.37344798247019,25092
"27",60000,"CHOIR",88.0273741364479,11932.4
"28",68579,"callback",9.17328803539276,6297
"29",68579,"sc-SHC",7.15629361867905,32052.7
"30",68579,"CHOIR",115.08146460851,12403.9
