,num_cells,method,time,memory
0,1000,scAce,0.5017706592877705,2.1241732230468746
1,1000,scAce,0.33972314596176145,2.153771031953125
2,1000,scAce,0.32738579909006754,2.164011071015625
3,1000,scAce,0.35505362749099734,2.191216806796875
4,1000,scAce,0.33689489364624026,2.20530300453125
5,2000,scAce,0.67029394308726,2.2567325767187496
6,2000,scAce,0.5631347258885702,2.2948214260156248
7,2000,scAce,0.6036638538042705,2.321265302890625
8,2000,scAce,0.5681195656458536,2.3588134781249996
9,2000,scAce,0.5995736320813497,2.395616178515625
10,5000,scAce,1.3752015511194864,2.5838117124218747
11,5000,scAce,1.3633371114730835,2.6439494138281248
12,5000,scAce,1.3456009904543558,2.724559001328125
13,5000,scAce,1.3316652536392213,2.8178088930468745
14,5000,scAce,1.3938048640886942,2.917006199453125
15,10000,scAce,3.127797369162242,3.112074847578125
16,10000,scAce,2.7843159715334576,2.7858476831249996
17,10000,scAce,2.6833854794502257,2.797517231640625
18,10000,scAce,2.7214808305104574,2.7907178457031248
19,10000,scAce,2.7118632634480795,2.7980660977343748
20,20000,scAce,5.345572372277577,3.12893814390625
21,20000,scAce,5.384120126565297,3.294552343671875
22,20000,scAce,5.4298321088155115,3.2979438446093745
23,20000,scAce,5.553955698013306,3.3018391554687496
24,20000,scAce,5.5488578637441,3.3519539066406248
25,30000,scAce,8.366573969523111,3.6437049075781247
26,30000,scAce,9.391566733519236,3.8075946847656246
27,30000,scAce,8.25701899131139,3.8668804149218747
28,30000,scAce,8.122903819878896,3.841182012890625
29,30000,scAce,8.462971679369609,3.8469205307812495
30,40000,scAce,11.43929185072581,4.219133662656249
31,40000,scAce,11.652984364827473,4.36654107296875
32,40000,scAce,12.05918980439504,4.384514389531249
33,40000,scAce,11.487024541695913,4.401148308984375
34,40000,scAce,11.96852590640386,4.43093043859375
35,50000,scAce,14.356276802221934,4.738393755468749
36,50000,scAce,14.741457907358805,4.918430026249999
37,50000,scAce,16.35490050713221,4.920711506953125
38,50000,scAce,15.009200259049733,4.925815142421874
39,50000,scAce,15.160125188032787,4.948404668593749
40,60000,scAce,17.626348427931468,5.806700166718749
41,60000,scAce,18.692095371087394,5.992515915546875
42,60000,scAce,18.257370710372925,6.0425774185156245
43,60000,scAce,18.12730592886607,5.987993914296874
44,60000,scAce,18.209959952036538,6.004828538515625
45,68579,scAce,21.95729968150457,6.337060461875
46,68579,scAce,21.41966131925583,6.549836185546875
47,68579,scAce,21.110450899600984,6.4654295915625
48,68579,scAce,20.41962026357651,6.558495162578124
49,68579,scAce,21.310656678676605,6.5617965511718745

